Accession No,Collector Number,"DateYear All the samples have collection, dates. We had a challenge determinng how to format the date and what field(s) Here is presented identification date, when specifically identified on th eherbarium sheet",Identifier Name,Phylum,Class,Order,Family,Genus,Species,Variety,Form,Continent,Country,Territory,District,Locality,Latitude,Longitude
7129,8719,1980,"Hooper, R",Phaeophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,esculenta,,,North America,Canada,Newfoundland and Labrador,Newfoundland,Logy Bay Head of Avalon Peninsula.  ,47.6264,-52.665
7382,8882,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,groenlandica,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Crozier Channel face of Manson Point.   ,76.08,-119.07
7383,8883,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,groenlandica,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Crozier Channel face of Manson Point.   ,76.08,-119.07
7384,8884,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,groenlandica,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Crozier Channel face of Manson Point.   ,76.08,-119.07
7385,8885,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,groenlandica,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Crozier Channel face of Manson Point.   ,76.08,-119.07
7386,8886,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,groenlandica,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Crozier Channel face of Manson Point.   ,76.08,-119.07
7605,9002,1974,"Hooper, R",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,solidungula,,,North America,Canada,Northwest Territory,Franklin District,"Brock Island ""East side, in channel between Brock Island and Mackenzie King Island.""   ",77.85,-113.6
7606,9004,1974,"Hooper, R",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,solidungula,,,North America,Canada,Northwest Territory,Franklin District,"Brock Island ""East side, in channel between Brock Island and Mackenzie King Island.""   ",77.85,-113.6
7606,9003,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,groenlandica,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Manson Point in Crozier Channel.   ,76.08,-119.07
7607,9005,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,saccharina,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Manson Point in Crozier Channel.   ,76.08,-119.07
